id;name;unit;code;description;img_url
1;minus intertwine;phooey;times fragrant um;pace whoa pine;yack droop
2;enraged;and ha devoice;which;outside singing alcohol;furiously a under
3;boohoo unblock;meh untrue;yippee quaintly mealy;plus hungrily telex;beside beautifully
4;left;correctly however;pike mysteriously knavishly;psst;amongst hedgehog hosepipe
5;incomplete;partially ouch;famous psst;flaky;crooked
6;quirkily;versus street;sharp;likewise flustered;officially er
7;complete;gadzooks;excluding presell;haggle;after
8;outside;decent embrace sober;under;detour ditch;feel
9;around past;happily beneath following;bold single less;fountain whoa overconfidently;queasy boohoo necklace
10;if joyous;chant weak;compress playfully;ew;downfall
