id;name;code;unit;description;weight;height;width;length;image_url;type;color;cbm;price;construction;master_packing_qty;master_nest_code;inner_qty;pack_size;nest_code;country_of_origin;vendor_name;number_of_set;price_fob;qty_40_hc;d_57_qty;category;labels;planning_notes;fact_tag;packaging_length;packaging_height;packaging_width
1;likewise sender whispered;squander;especially;lanky phooey;6147.33;13123.84;26223.55;26495.23;incommode yowza as;26836;fuchsia;27743.03;9175.11;28760;262;14727;3474;24072;infuriate artist ah;passionate;puzzled sap where;880;19443.44;9907;9333;wherever hourly;meager;uh-huh whelp;whether;11334.67;6143.95;29219.01
2;since informal;aboard misinterpret;atop forgery jasmine;boo whenever mmm;13434.55;17836.23;20497.25;28523.66;favorable ripen opposite;27790;teal;12237.9;5109;24223;2568;13413;25799;24421;boring;supposing duh thoughtfully;candid;31314;12914.35;31755;11756;larder expensive;dad reek;yahoo;truck wilted;9257.18;28577.19;9801.5
3;tyrannise as;toque hmph sidle;mmm define;mayor;16406.53;28447.7;13834.84;25705.88;geez jump;5721;orchid;24709.33;13830.94;5962;1899;2799;16741;14780;as why onto;coolly;gah riding but;23825;31180.02;15315;3174;unlike;zowie;or;orderly;16443.21;12669.46;6230.93
4;well-informed;pish;orient biology;legal though;29403.42;22388.58;20808.84;8303.14;referee;14356;magenta;1957.17;21401.66;4162;12165;6063;12522;31933;failing eek skivvy;weighty;gadzooks ferry alienated;16176;32501.82;4598;17952;politely acquisition;imprison;drat after rowdy;ha;19624.23;28155.82;27883.43
5;woot into;kindheartedly what rudely;where;anti;12413.88;10782.04;32712.23;24435.71;cleverly across;15548;tan;10919.2;7874.58;15131;11607;11258;18770;4632;sue how teepee;woot even passenger;lovingly bustle;17181;29470.94;11401;29202;worth overconfidently plus;furthermore;wrathful next;openly;17112.86;25889.06;13485.1
6;notwithstanding create across;blind trick amidst;well-off;amongst real outfox;18069.23;9234.02;22449.57;29226.5;cautious short acquaint;27477;grey;8936.65;10779.43;30877;28054;32190;21010;12220;wherever immediately zowie;till;duh pfft combat;525;2623.74;9606;23469;unless;mmm lobotomy;even;consequently;28168.39;4082.07;30260.04
7;bat behind well-groomed;shameless;finally;supposing pish;22099.24;8805.02;17381.6;25111.7;prowl;32386;black;1258.61;14344.79;6972;24685;17770;16561;13937;yearningly lest frigid;because;count dreary pasture;6370;18088.15;7809;16708;aha times quintessential;attentive however as;for ounce;uh-huh yet;12505.57;17570.14;16492.81
8;psst;talkative kosher;round;hourly;31058.15;1532.98;7761.08;23076.38;over;7883;olive;17603.9;21641.25;8856;29541;5887;28680;24446;er for chubby;cold while;camp aw;31173;29125.92;18742;25845;entrance;section speedily;yowza;bah;1975.8;6679.57;12293
9;alongside giant;hm hm;ew return feline;cruelly neglected override;17160.97;27855.99;14133.46;6188.65;oof without mmm;20136;magenta;2412.75;21978.23;13930;1423;28246;14296;4645;ick;with cardboard;tricky positively riverbed;19330;8796.69;5559;1293;problem rapidly miserably;manor bleakly beside;aw;fabricate now terribly;26694.06;8770.92;17643.84
10;eek gossip weld;improbable;wherever;known;12676.76;18042.8;28650.9;10999.86;tights index beyond;27498;green;24003.68;19353.4;20090;16538;27625;31279;24808;prejudice into;whenever;aw;30091;30887.2;31861;10163;ugh apt;spokeswoman velvety waterfall;via;periodic;14884.11;25607.76;7098.5
