id;payment_method;note;status;order_date;payment_date;warehouse_release_date;code
1;surprised or arid;expire cruelly knee;2157;2024-08-05T09:59:52;2024-08-05T07:15:42;2024-08-05T07:06:58;to
2;infect;duh;16517;2024-08-05T13:18:23;2024-08-05T07:27:39;2024-08-04T21:35:51;infamous
3;exceed brr class;quieten indeed;23582;2024-08-04T17:51:14;2024-08-05T10:21:13;2024-08-04T19:07:03;defray gadzooks which
4;pfft about infatuated;yuck pish;17412;2024-08-05T06:26:19;2024-08-05T02:47:49;2024-08-04T22:34:44;descriptive sedately
5;shipwreck breakable drat;till mechanically basic;9015;2024-08-05T00:56:45;2024-08-05T10:09:37;2024-08-05T09:48:24;beyond minus troubled
6;ouch extol lightly;second-hand upon into;2458;2024-08-05T12:42:21;2024-08-05T00:53:28;2024-08-05T02:09:21;valley besides
7;hippopotamus ew aboard;seldom idealize carelessly;18988;2024-08-05T08:24:15;2024-08-05T07:39:38;2024-08-04T18:54:08;negotiation until of
8;advantage diligently;finally;20094;2024-08-05T00:03:34;2024-08-05T05:43:10;2024-08-05T11:53:57;how
9;excepting who;stop after;12431;2024-08-04T21:06:16;2024-08-04T16:01:45;2024-08-04T23:23:33;reset allocate with
10;now moment;scent;6655;2024-08-04T14:39:44;2024-08-04T14:13:32;2024-08-05T04:20:35;quill
