id;name;address;phone
1;gah appropriate;what;0261 7201 1213
2;rule oh incidentally;though;0286 5786 5925
3;gee crisp covenant;unfortunately idolized;0254 1903 7565
4;jeans fast;hand-holding the gadzooks;0226 2945 0493
5;whereas whopping upbeat;action fooey;022 3004 2150
6;lest aim doubtfully;integer sentimental bulk;029 3238 2455
7;veteran pish pfft;maternity;025 8290 5175
8;link metabolise;politely upward;025 0663 3294
9;apologise;hearty;025 3406 7874
10;slippery hmph over;euphoric costly besides;0235 1319 4395
